BJD - 2454833, Corrected Flux
2316.090948073, 0.999391625,
2316.111379950, 0.999473047,
2316.131811826, 0.999630494,
2316.152243703, 0.999666542,
2316.172675679, 0.999665314,
2316.193107455, 0.999627557,
2316.213539330, 0.999641283,
2316.233971205, 0.999705007,
2316.254403080, 0.999633152,
2316.274834854, 0.999700931,
2316.295266828, 0.999733308,
2316.315698702, 0.999671487,
2316.336130675, 0.999609076,
2316.376994321, 0.999715291,
2316.397426294, 0.999651653,
2316.417858066, 0.999708904,
2316.438289938, 0.999701178,
2316.458721909, 0.999658604,
2316.479153680, 0.999664084,
2316.499585551, 0.999682566,
2316.520017522, 0.999691681,
2316.540449392, 0.999710372,
2316.560881162, 0.999681766,
2316.581313131, 0.999680956,
2316.601745000, 0.999701243,
2316.622176769, 0.999686086,
2316.642608738, 0.999641247,
2316.663040606, 0.999700162,
2316.683472374, 0.999721296,
2316.703904341, 0.999701940,
2316.724336208, 0.999668764,
2316.744767975, 0.999686720,
2316.765199942, 0.999734195,
2316.785631808, 0.999649015,
2316.806063774, 0.999691049,
2316.826495540, 0.999769447,
2316.867359370, 0.999721126,
2316.949086726, 0.999731038,
2316.969518590, 0.999683163,
2316.989950553, 0.999698112,
2317.010382316, 0.999666364,
2317.030814178, 0.999718750,
2317.051246040, 0.999736542,
2317.071677902, 0.999683254,
2317.092109763, 0.999721123,
2317.112541724, 0.999734547,
2317.132973485, 0.999738626,
2317.153405345, 0.999741016,
2317.173837306, 0.999767052,
2317.194269066, 0.999683891,
2317.214701025, 0.999792448,
2317.235132884, 0.999813820,
2317.255564643, 0.999784976,
2317.275996602, 0.999738797,
2317.296428460, 0.999746584,
2317.316860218, 0.999733120,
2317.357724032, 0.999714950,
2317.378155890, 0.999742508,
2317.398587746, 0.999675047,
2317.419019602, 0.999688213,
2317.439451459, 0.999725016,
2317.459883314, 0.999748494,
2317.480315170, 0.999693126,
2317.500747024, 0.999725611,
2317.521178879, 0.999735182,
2317.541610734, 0.999742299,
2317.562042588, 0.999701915,
2317.582474542, 0.999704293,
2317.602906295, 0.999766660,
2317.623338148, 0.999727790,
2317.643770101, 0.999807922,
2317.664201853, 0.999688164,
2317.684633806, 0.999805358,
2317.705065658, 0.999745337,
2317.725497409, 0.999785909,
2317.745929360, 0.999737274,
2317.766361111, 0.999765861,
2317.786792962, 0.999749866,
2317.807224912, 0.999793425,
2317.848088512, 0.999754040,
2317.868520462, 0.999674303,
2317.888952211, 0.999737771,
2317.909384059, 0.999749575,
2317.929816008, 0.999693878,
2317.950247856, 0.999727824,
2317.970679604, 0.999723300,
2317.991111551, 0.999776683,
2318.011543399, 0.999720641,
2318.031975145, 0.999736461,
2318.052407092, 0.999786521,
2318.093270684, 0.999622081,
2318.113702630, 0.999731268,
2318.134134475, 0.999707079,
2318.154566420, 0.999715929,
2318.174998165, 0.999742691,
2318.195430009, 0.999741269,
2318.215861954, 0.999737280,
2318.236293697, 0.999737391,
2318.256725541, 0.999712682,
2318.277157484, 0.999712022,
